L,L_max,L_0,lambda
2896.314175572336,4096.0,2896.3093757401125,1e-07
2896.324709132614,4096.0,2896.3093757401125,2.1544346900318822e-07
2896.386750197711,4096.0,2896.3093757401125,4.641588833612782e-07
2896.521521835138,4096.0,2896.3093757401125,1e-06
2896.764918479697,4096.0,2896.3093757401125,2.1544346900318822e-06
2897.1271007730834,4096.0,2896.3093757401125,4.641588833612773e-06
2897.740098578025,4096.0,2896.3093757401125,1e-05
2898.692859525845,4096.0,2896.3093757401125,2.1544346900318823e-05
2900.230470116664,4096.0,2896.3093757401125,4.641588833612772e-05
2902.6659141544196,4096.0,2896.3093757401125,0.0001
2906.3899619243984,4096.0,2896.3093757401125,0.00021544346900318823
2911.8641643666256,4096.0,2896.3093757401125,0.00046415888336127773
2919.75033481433,4096.0,2896.3093757401125,0.001
2931.1922916879175,4096.0,2896.3093757401125,0.002154434690031882
2948.0540858102804,4096.0,2896.3093757401125,0.004641588833612773
2973.072848781286,4096.0,2896.3093757401125,0.01
3010.2304701200815,4096.0,2896.3093757401125,0.021544346900318822
3065.277345604028,4096.0,2896.3093757401125,0.046415888336127725
3145.9708346287075,4096.0,2896.3093757401125,0.1
3260.968271908701,4096.0,2896.3093757401125,0.21544346900318823
3416.4714406326475,4096.0,2896.3093757401125,0.46415888336127725
3608.653935365964,4096.0,2896.3093757401125,1.0
