L,L_max,L_0,lambda
181.01957786876616,256.0,181.01933598375624,9.999999999999997e-08
181.0200011466356,256.0,181.01933598375624,2.1544346900318832e-07
181.02092098391947,256.0,181.01933598375624,4.641588833612781e-07
181.02288553539768,256.0,181.01933598375624,1.0000000000000002e-06
181.02706719848524,256.0,181.01933598375624,2.154434690031882e-06
181.03602195301556,256.0,181.01933598375624,4.641588833612773e-06
181.05514559073495,256.0,181.01933598375624,1e-05
181.09563795371477,256.0,181.01933598375624,2.1544346900318823e-05
181.17971839578308,256.0,181.01933598375624,4.641588833612771e-05
181.34798313484356,256.0,181.01933598375624,0.00010000000000000003
181.66323816765117,256.0,181.01933598375624,0.00021544346900309998
182.19915513478105,256.0,181.01933598375624,0.0004641588833612001
183.02163818965977,256.0,181.01933598375624,0.0010000000000000005
184.1931218543243,256.0,181.01933598375624,0.0021544346900317997
185.76815018099623,256.0,181.01933598375624,0.0046415888336127
187.77640590561793,256.0,181.01933598375624,0.01
190.26085463191288,256.0,181.01933598375624,0.021544346900318808
193.35238554022112,256.0,181.01933598375624,0.046415888336127684
197.34005219736528,256.0,181.01933598375624,0.10000000000000002
202.77077133263583,256.0,181.01933598375624,0.21544346900318823
210.4870714748179,256.0,181.01933598375624,0.4641588833612771
221.22489736839162,256.0,181.01933598375624,1.0
