L,L_max,L_0,lambda
362.0389381452567,512.0,362.03867196751224,1e-07
362.03943453556445,512.0,362.03867196751224,2.1544346900318822e-07
362.04056090909694,512.0,362.03867196751224,4.641588833612782e-07
362.0430846647566,512.0,362.03867196751224,1e-06
362.0483670020188,512.0,362.03867196751224,2.1544346900318822e-06
362.0596782910691,512.0,362.03867196751224,4.641588833612773e-06
362.08386431439806,512.0,362.03867196751224,1e-05
362.1348418893774,512.0,362.03867196751224,2.1544346900318823e-05
362.2402667468017,512.0,362.03867196751224,4.641588833612772e-05
362.4522193270224,512.0,362.03867196751224,0.0001
362.86239906438846,512.0,362.03867196751224,0.00021544346900318823
363.6161481200884,512.0,362.03867196751224,0.00046415888336127773
364.89070576375224,512.0,362.03867196751224,0.001
366.8322207817437,512.0,362.03867196751224,0.002154434690031882
369.54136851230624,512.0,362.03867196751224,0.004641588833612773
373.12160078389667,512.0,362.03867196751224,0.01
377.8012828578509,512.0,362.03867196751224,0.021544346900318822
384.0449810292148,512.0,362.03867196751224,0.046415888336127725
392.4065432447865,512.0,362.03867196751224,0.1
403.6579531256048,512.0,362.03867196751224,0.21544346900318823
419.27465843499874,512.0,362.03867196751224,0.46415888336127725
440.9145447920067,512.0,362.03867196751224,1.0
