L,L_max,L_0,lambda
2896.309608390093,4096.0,2896.3093757401125,9.999999999999997e-08
2896.3113803617684,4096.0,2896.3093757401125,2.1544346900318832e-07
2896.327356928675,4096.0,2896.3093757401125,4.641588833612781e-07
2896.3849321322973,4096.0,2896.3093757401125,1.0000000000000002e-06
2896.4832657905113,4096.0,2896.3093757401125,2.154434690031882e-06
2896.618078869382,4096.0,2896.3093757401125,4.641588833612773e-06
2896.806987151707,4096.0,2896.3093757401125,1e-05
2897.0752858515348,4096.0,2896.3093757401125,2.1544346900318823e-05
2897.464065612543,4096.0,2896.3093757401125,4.641588833612771e-05
2898.041967103866,4096.0,2896.3093757401125,0.00010000000000000003
2898.908117864207,4096.0,2896.3093757401125,0.00021544346900309998
2900.2175125143513,4096.0,2896.3093757401125,0.0004641588833612001
2902.223914131037,4096.0,2896.3093757401125,0.0010000000000000005
2905.366590720081,4096.0,2896.3093757401125,0.0021544346900317997
2910.410463028143,4096.0,2896.3093757401125,0.0046415888336127
2918.6899728766325,4096.0,2896.3093757401125,0.01
2932.6032462498447,4096.0,2896.3093757401125,0.021544346900318808
2956.5541803477126,4096.0,2896.3093757401125,0.046415888336127684
2998.555386491223,4096.0,2896.3093757401125,0.10000000000000002
3072.430325525421,4096.0,2896.3093757401125,0.21544346900318823
3198.622199330604,4096.0,2896.3093757401125,0.4641588833612771
3395.5341240978178,4096.0,2896.3093757401125,1.0
